,index,ORF,GSM1089009,GSM1089010,GSM1089011,GSM1089012,GSM1089013,GSM1089014,GSM1089015,GSM1089016
0,9136,SO_0001,5.926404747,5.890380277,7.745059881,5.618567808,5.848747316,5.753361495,6.20708489,8.429939615
1,4549,SO_0001,4.718351818,4.673162837,5.294913482,4.873986084,4.913388256,4.913388256,5.14756523,4.795021245
2,2683,SO_0001,4.74549664,4.913388256,4.341086721,4.711485051,4.65180019,4.95468115,4.468614403,5.022805558
3,2272,SO_0002,6.151094509,6.10337107,4.820773628,5.942622042,5.942622042,6.199743275,5.422306666,4.406257294
4,14402,SO_0002,4.676692725,4.443969737,4.341086721,4.484813362,4.694213767,4.555485759,4.22550575,4.795021245
5,4173,SO_0002,4.633753121,4.484813362,3.829511864,4.443969737,4.57826262,4.49678919,4.873986084,4.27749373
6,10184,SO_0002,4.589541932,4.291375053,4.683726697,4.130984597,4.600733744,4.272836782,4.861633539,4.27749373
7,15188,SO_0003,5.236335461,4.873986084,5.136072473,5.1141313,5.15010679,4.870907849,4.50077747,4.870907849
8,9152,SO_0003,4.718351818,4.940068991,3.829511864,4.585791951,4.92827176,4.748854111,4.332161275,5.420202431
9,8703,SO_0003,4.4887794,4.536184368,4.95468115,4.795021245,4.520555148,4.49678919,4.615477433,4.468614403
10,3608,SO_0004,4.410503487,4.323180266,4.95468115,4.332161275,4.520555148,5.103679772,4.910393041,4.528390923
11,6713,SO_0004,4.314217848,4.384836821,4.597012778,4.099874253,4.406257294,4.300555618,4.589541932,4.658956277
12,13202,SO_0004,5.292614833,4.291375053,5.504043187,4.389146435,4.811170273,4.249323851,5.355617643,7.506822193
13,7093,SO_0004,5.506028704,5.583269589,6.324239123,5.681397503,5.586087906,5.779855431,5.679639384,6.130649646
14,8385,SO_0005,4.427364373,4.42316759,4.95468115,4.585791951,4.951770534,4.427364373,5.324452914,4.795021245
15,952,SO_0005,4.156489854,3.956480165,5.050255302,4.130984597,4.22550575,4.823960594,4.910393041,3.973800133
16,10462,SO_0005,4.314217848,4.291375053,4.427364373,4.532292908,4.633753121,4.532292908,5.422306666,4.338860531
17,3684,SO_0005,4.156489854,4.384836821,4.171579342,3.933195979,4.492789854,4.532292908,5.324452914,4.166567028
18,5983,SO_0006,4.765489492,4.484813362,5.476967773,4.694213767,5.025576467,4.983468834,5.861210212,6.051298249
19,877,SO_0006,4.314217848,4.291375053,4.597012778,4.484813362,4.492789854,4.846074377,4.910393041,4.035463889
20,6900,SO_0006,4.4887794,4.640999062,6.324239123,4.735377089,4.92827176,4.870907849,5.75001451,5.799415865
21,7427,SO_0007,5.848747316,5.783133976,6.413679527,6.211958626,6.100745753,6.111215826,6.461528416,5.894933397
22,12225,SO_0007,5.378557198,5.702329485,6.189278281,5.840902978,5.915993337,5.624063102,6.355407123,6.051298249
23,9554,SO_0007,6.040379707,5.914499208,6.10337107,6.295256185,6.066177582,6.179983169,6.703939771,6.868081792
24,13148,SO_0007,5.753361495,5.583269589,6.189278281,5.88733686,5.951387596,5.844830478,6.273859353,6.273859353
25,12865,SO_0008,5.160228492,4.738758166,4.427364373,4.694213767,5.119328807,4.889279504,5.167773438,4.589541932
